date,tweet
2021-07-25 03:51:44,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:50:45,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:44:36,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:41:28,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:39:39,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:33:23,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:33:03,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:29:36,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:26:41,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:25:54,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:24:14,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:22:33,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:17:02,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:15:31,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:10:37,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:08:50,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:07:09,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:04:02,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:01:18,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:01:13,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 03:01:03,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:58:56,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:55:21,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:40:37,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
