date,tweet

2021-07-24 23:54:42,"b'nautilus full ap, imagine zzz vaya despojo umano #movistar'"

2021-07-24 23:35:57,b'RT @alma_escritora: @MovistarChilee #MOVISTAR HACE D\xc3\x8dAS ME ROB\xc3\x93 DINERO A TRAV\xc3\x89S DE PUBLICIDAD ENGA\xc3\x91OSA EN LA WEB Y EL D\xc3\x8dA DE AYER ME HAB\xc3\x8dA\xe2\x80\xa6'

2021-07-24 22:08:37,b'RT @lufer162: #OroOlimpico #HimnoNacional #JeffersonPerez #Movistar #Ineos #LassoEsMorenoRecargado \n\n       Con padrino\xe2\x80\xa6'

2021-07-24 20:24:58,b'#eurosport @Eurosport_ES  A ver si hay alguna manera de arreglar el sonido porque tanto el Eurosport4 como otros no\xe2\x80\xa6 https://t.co/MNauRiRMX5'

2021-07-24 19:29:27,"b'RT @fabrobarce29: Y asi, el equipo #Movistar sigue dandose contra el piso contra la pared  por #RichardCarapaz\xe2\x80\xa6. Gracias @INEOSGrenadiers c\xe2\x80\xa6'"

2021-07-24 19:07:44,b'Me pregunto qu\xc3\xa9 clase de subnormal ha pensado que un PUTO GRITO es lo mejor para dar paso a la publicidad. \xf0\x9f\x98\x81 @MovistarPlus #Movistar'

2021-07-24 18:39:54,b'Apple iPhone 11 Pro Max 512GB - Gris Espacial - Desbloqueado #Apple #iPhone11 #movil #movistar #celular #Madrid\xe2\x80\xa6 https://t.co/KCGebh0Rth'

2021-07-24 18:38:00,"b'Gracias @INEOSGrenadiers este triunfo es buena parte suyo tmb, y con mucho cari\xc3\xb1o para los mala leche de #Movistar\xe2\x80\xa6 https://t.co/OhWKuNEf6l'"

2021-07-24 18:18:36,b'RT @lupaycedazo: Subirse a la camioneta del triunfo es f\xc3\xa1cil. Lo dif\xc3\xadcil es sobresalir cuando en tu propia casa no creen en ti y menos te a\xe2\x80\xa6'

2021-07-24 18:12:25,b'@subtel_chile @lun @Moreno_Fco @GloriaHutt @GobiernodeChile @MTTChile HOY @subtel_chile SI YO QUIERO TRAER FIBRA OP\xe2\x80\xa6 https://t.co/23D1Wt6wUj'

2021-07-24 17:42:29,b'Siiii deben auspiciar a los deportistas no a esos disque periodistas ... Vamos #claro #movistar #supermaxi\xe2\x80\xa6 https://t.co/9VGxtkmOer'

2021-07-24 17:30:00,b'Para realizar pagos a trav\xc3\xa9s de SMS ten en cuenta los siguientes datos: Si tu l\xc3\xadnea es #Movistar o #Digitel env\xc3\xada u\xe2\x80\xa6 https://t.co/mYumTl9Tjn'

2021-07-24 17:14:47,b'Pol\xc3\xadticos colg\xc3\xa1ndose del triunfo:\n\n\xc2\xa1La bicicleta no se mancha!\xf0\x9f\x9a\xb4\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n-Richard Carapaz \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\xa5\x87\n\n#OroOlimpico #Movistar\xe2\x80\xa6 https://t.co/HSOEBORQXm'

2021-07-24 17:01:19,"b'Y asi, el equipo #Movistar sigue dandose contra el piso contra la pared  por #RichardCarapaz\xe2\x80\xa6. Gracias @INEOSGrenadiers cc @PatoCornejo'"

2021-07-24 16:58:39,b'.@MovistarArg te deja 8 d\xc3\xadas sin internet en \xc3\xa9ste contexto. Te dice al octavo d\xc3\xada que esperes en tu domicilio a t\xc3\xa9c\xe2\x80\xa6 https://t.co/3bgXyBxkt9'

2021-07-24 16:50:07,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 16:49:29,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 16:39:05,b'No solo el servicio que brinda @MovistarArg es un desastre. Te hacen perder todo el d\xc3\xada esperando a t\xc3\xa9cnicos que no\xe2\x80\xa6 https://t.co/DteToJ0lse'

2021-07-24 16:26:13,"b'RT @Patrici33467955: @MoniVelasquezV Esa es  la  #\xc3\xbanica #VERDAD , #toda la #VERDAD  y #nada #m\xc3\xa1s que la #VERDAD, viendo en directo la carre\xe2\x80\xa6'"

2021-07-24 16:16:46,b'RT @lufer162: #OroOlimpico #HimnoNacional #JeffersonPerez #Movistar #Ineos #LassoEsMorenoRecargado \n\n       Con padrino\xe2\x80\xa6'

2021-07-24 16:04:10,b'Subirse a la camioneta del triunfo es f\xc3\xa1cil. Lo dif\xc3\xadcil es sobresalir cuando en tu propia casa no creen en ti y men\xe2\x80\xa6 https://t.co/MMx1OJnszV'

2021-07-24 15:50:01,"b'Digitel sin se\xc3\xb1al, y #movistar  le sigue los pasos! \xf0\x9f\x98\xa1 A alguien m\xc3\xa1s le pasa? \xf0\x9f\xa4\x94 Desde ayer me sucede.'"

2021-07-24 15:33:47,b'#OroOlimpico #HimnoNacional #JeffersonPerez #Movistar #Ineos #LassoEsMorenoRecargado \n\n       Con padrino\xe2\x80\xa6 https://t.co/MNsjG985qU'

